id;course_id;grade
16;2;12.5
16;2;15.5
16;2;13
16;2;16
16;4;11
16;4;9
16;4;9
16;4;5
16;4;6
16;4;9
16;4;12
16;4;10
16;4;8
16;4;13
16;3;13.7
16;3;13
16;3;9.7
16;3;10.9
16;3;16.1
16;3;11.1
16;3;14.9
16;6;11
16;6;15
16;6;13
16;5;12.75
16;5;9
16;5;8.75
16;5;10.5
16;5;11.75
16;5;8.75
16;5;11
16;5;8.75
16;5;11.75
16;5;11
16;10;9
16;10;9
16;10;8
16;10;13
16;10;$
16;9;14.5
16;9;13.5
16;9;15.5
16;9;10.5
16;9;12.5
16;9;12
16;9;17.5
16;9;15.5
16;9;14
16;7;15.5
16;7;18
16;7;14
16;7;14
16;7;14
16;7;16.5
16;7;15.5
16;1;13
16;1;16
16;1;14
16;1;15
16;1;13
16;1;13
16;1;13
16;1;12
16;1;15
16;1;16
16;8;7.5
16;8;10
16;8;11
16;8;11.5
16;8;6
118;2;13
118;2;14.5
118;2;13.5
118;2;16.5
118;4;15
118;4;5
118;4;7
118;4;9
118;4;8
118;4;9
118;4;4
118;4;9
118;4;11
118;4;10
118;3;10.1
118;3;15
118;3;13.1
118;3;13.3
118;3;12
118;3;15.7
118;3;10.9
118;6;12.5
118;6;10
118;6;10.5
118;6;10.5
118;5;10.75
118;5;11
118;5;9.5
118;5;10.25
118;5;13
118;5;10.75
118;5;13.5
118;5;9.75
118;5;7.5
118;10;8
118;10;10
118;10;12
118;10;9
118;9;12
118;9;14
118;9;15.5
118;9;12
118;9;15
118;9;16
118;9;13
118;9;13
118;9;13.5
118;7;17
118;7;12.5
118;7;13
118;7;16.5
118;7;15.5
118;7;14.5
118;7;14
118;7;18
118;1;14
118;1;13
118;1;11
118;1;16
118;1;15
118;1;14
118;1;17
118;1;17
118;1;12
118;1;17
118;8;16
118;8;7
118;8;13
118;8;14
118;8;19
128;2;19.5
128;2;16
128;2;10
128;2;13.5
128;4;6
128;4;8
128;4;6
128;4;5
128;4;14
128;4;9
128;4;8
128;4;4
128;4;13
128;4;10
128;3;14.6
128;3;11.7
128;3;10.8
128;3;12.6
128;3;10.3
128;3;17.1
128;3;14.6
128;6;10
128;6;10.5
128;6;10.5
128;6;9.5
128;5;11
128;5;7.75
128;5;9
128;5;11.25
128;5;9.25
128;5;9
128;5;7.75
128;5;10.5
128;5;13
128;10;12
128;10;9
128;10;9
128;10;8
128;10;12
128;9;13.5
128;9;14
128;9;11
128;9;15
128;9;15
128;9;10.5
128;9;12
128;9;15
128;9;15
128;7;12.5
128;7;16.5
128;7;15.5
128;7;14
128;7;13
128;7;17
128;7;13.5
128;7;14.5
128;1;12
128;1;17
128;1;13
128;1;16
128;1;15
128;1;14
128;1;14
128;1;14
128;1;13
128;1;15
128;8;20
128;8;15.5
128;8;16.5
128;8;11
128;8;9.5
134;2;18.5
134;2;14
134;2;10
134;2;15
134;4;8
134;4;11
134;4;7
134;4;10
134;4;9
134;4;4
134;4;7
134;4;10
134;4;4
134;4;6
134;3;11.3
134;3;16.2
134;3;13.8
134;3;9.3
134;3;11.1
134;3;9.6
134;3;19.5
134;6;9.5
134;6;9
134;6;10.5
134;6;8
134;5;9.75
134;5;8.5
134;5;10.25
134;5;10.25
134;5;13.5
134;5;9.5
134;5;8.75
134;5;12.5
134;5;8.75
134;5;11.25
134;10;11
134;10;10
134;10;11
134;10;10
134;10;13
134;9;14.5
134;9;18
134;9;14.5
134;9;14
134;9;14.5
134;9;12.5
134;9;11
134;9;14
134;9;16.5
134;7;12
134;7;17.5
134;7;16.5
134;7;13.5
134;7;13
134;7;14
134;7;11.5
134;7;17
134;1;14
134;1;15
134;1;16
134;1;14
134;1;12
134;1;11
134;1;16
134;1;15
134;1;14
134;1;14
134;8;14
134;8;11
134;8;10
134;8;12.5
134;8;12.5
147;2;12
147;2;16
147;2;16.5
147;2;16.5
147;4;5
147;4;9
147;4;11
147;4;10
147;4;9
147;4;10
147;4;8
147;4;6
147;4;10
147;4;9
147;3;8
147;3;11.2
147;3;10.8
147;3;9.8
147;3;11.9
147;3;11.7
147;3;12
147;6;8.5
147;6;14
147;6;12.5
147;6;13
147;5;10.25
147;5;9
147;5;10.75
147;5;9.25
147;5;11
147;5;9.5
147;5;8.75
147;5;10.75
147;5;10.75
147;5;11.5
147;10;9
147;10;5
147;10;13
147;10;13
147;10;10
147;9;15.5
147;9;13
147;9;11
147;9;14
147;9;16
147;9;15
147;9;16
147;9;13
147;9;14
147;7;13.5
147;7;15
147;7;14.5
147;7;14
147;7;18
147;7;15
147;7;18.5
147;7;16
147;1;13
147;1;13
147;1;18
147;1;19
147;1;13
147;1;15
147;1;14
147;1;15
147;1;15
147;1;12
147;8;7.5
147;8;12
147;8;14
147;8;11.5
147;8;15.5
165;2;15.5
165;2;13.5
165;2;12
165;2;15.5
165;4;6
165;4;11
165;4;8
165;4;8
165;4;8
165;4;4
165;4;6
165;4;10
165;4;7
165;4;11
165;3;12.2
165;3;13.1
165;3;16.9
165;3;13.2
165;3;9.6
165;3;7.7
165;3;15
165;6;12.5
165;6;10.5
165;6;11
165;6;11
165;5;9.5
165;5;10.75
165;5;8.75
165;5;10.5
165;5;9.25
165;5;8.25
165;5;11.25
165;5;12
165;5;9.25
165;5;11.5
165;10;13
165;10;6
165;10;13
165;10;8
165;10;12
165;9;15.5
165;9;15.5
165;9;15.5
165;9;17
165;9;16.5
165;9;13
165;9;18.5
165;9;11
165;9;14.5
165;7;17.5
165;7;14
165;7;12
165;7;11.5
165;7;19.5
165;7;16.5
165;7;15
165;7;15.5
165;1;13
165;1;15
165;1;12
165;1;15
165;1;17
165;1;11
165;1;15
165;1;10
165;1;16
165;1;18
165;8;11.5
165;8;19
165;8;18
165;8;13
165;8;9.5
179;2;13.5
179;2;17.5
179;2;16.5
179;2;11
179;4;7
179;4;10
179;4;8
179;4;9
179;4;4
179;4;7
179;4;1
179;4;15
179;4;5
179;3;16.5
179;3;5
179;3;12.7
179;3;20
179;3;12.4
179;3;11.9
179;3;12.5
179;6;11
179;6;15
179;6;10
179;6;11
179;5;13.25
179;5;10.25
179;5;9
179;5;9
179;5;10.25
179;5;10
179;5;9.5
179;5;10.5
179;5;11.5
179;5;10
179;10;7
179;10;8
179;10;3
179;10;12
179;10;10
179;9;13.5
179;9;13.5
179;9;13.5
179;9;15.5
179;9;16
179;9;14.5
179;9;12
179;9;13
179;9;11.5
179;7;13.5
179;7;15.5
179;7;14
179;7;13.5
179;7;16
179;7;17
179;1;15
179;1;14
179;1;16
179;1;17
179;1;14
179;1;10
179;1;12
179;1;14
179;1;20
179;8;15.5
179;8;17
179;8;12
179;8;9
179;8;8
262;2;16.5
262;2;16.5
262;2;16.5
262;2;16.5
262;4;7
262;4;8
262;4;10
262;4;7
262;4;7
262;4;6
262;4;8
262;4;9
262;4;14
262;4;9
262;3;15.4
262;3;15
262;3;14.4
262;3;10.6
262;3;11.9
262;3;16
262;3;11.3
262;6;11
262;6;10
262;6;14.5
262;6;10.5
262;5;9.75
262;5;11.25
262;5;9.75
262;5;12
262;5;8
262;5;12
262;5;7
262;5;7.75
262;5;7.75
262;5;11.75
262;10;10
262;10;9
262;10;11
262;10;11
262;10;11
262;9;12.5
262;9;16
262;9;13.5
262;9;14
262;9;14.5
262;9;13
262;9;13.5
262;9;14.5
262;9;15
262;7;17
262;7;17.5
262;7;12
262;7;15.5
262;7;18.5
262;7;15.5
262;7;14.5
262;7;11.5
262;1;15
262;1;14
262;1;15
262;1;12
262;1;14
262;1;16
262;1;18
